record_id,crop_id,crop_name,category,state,year,month,month_name,period,harvest_arrivals_t,market_supply_t,demand_t,supply_demand_gap_t,gap_pct,status,modal_price_inr_per_qtl,min_price_inr_per_qtl,max_price_inr_per_qtl,data_flag
1,C001,Rice/Paddy,Cereal,Tamil Nadu,2019,1,Jan,2019-01,3937716.0,4477435.1,969266.2,3508168.9,3.62,Surplus,1425,1162,1580,ESTIMATED_ MODEL
2,C001,Rice/Paddy,Cereal,Tamil Nadu,2019,2,Feb,2019-02,3839667.9,4386332.1,881151.1,3505181.1,3.98,Surplus,1509,1298,1820,ESTIMATED_ MODEL
3,C001,Rice/Paddy,Cereal,Tamil Nadu,2019,3,Mar,2019-03,0.0,818640.7,881151.1,-62510.4,-0.07,Balance d,1919,1721,2351,ESTIMATED_ MODEL
4,C001,Rice/Paddy,Cereal,Tamil Nadu,2019,4,Apr,2019-04,0.0,818640.7,881151.1,-62510.4,-0.07,Balance d,1942,1588,2189,ESTIMATED_ MODEL
5,C001,Rice/Paddy,Cereal,Tamil Nadu,2019,5,May,2019-05,0.0,818640.7,881151.1,-62510.4,-0.07,Balance d,1952,1664,2274,ESTIMATED_ MODEL
6,C001,Rice/Paddy,Cereal,Tamil Nadu,2019,6,Jun,2019-06,0.0,818640.7,881151.1,-62510.4,-0.07,Balance d,1951,1680,2187,ESTIMATED_ MODEL
7,C001,Rice/Paddy,Cereal,Tamil Nadu,2019,7,Jul,2019-07,0.0,818640.7,881151.1,-62510.4,-0.07,Balance d,1951,1632,2280,ESTIMATED_ MODEL
8,C001,Rice/Paddy,Cereal,Tamil Nadu,2019,8,Aug,2019-08,0.0,818640.7,881151.1,-62510.4,-0.07,Balance d,2009,1647,2365,ESTIMATED_ MODEL
9,C001,Rice/Paddy,Cereal,Tamil Nadu,2019,9,Sep,2019-09,0.0,818640.7,881151.1,-62510.4,-0.07,Balance d,1986,1598,2366,ESTIMATED_ MODEL
10,C001,Rice/Paddy,Cereal,Tamil Nadu,2019,10,Oct,2019-10,0.0,818640.7,925208.6,-106567.9,-0.12,Shortag e,1950,1572,2422,ESTIMATED_ MODEL
11,C001,Rice/Paddy,Cereal,Tamil Nadu,2019,11,Nov,2019-11,0.0,818640.7,881151.1,-62510.4,-0.07,Balance d,2030,1788,2326,ESTIMATED_ MODEL
12,C001,Rice/Paddy,Cereal,Tamil Nadu,2019,12,Dec,2019-12,3779896.3,4330794.3,881151.1,3449643.2,3.91,Surplus,1419,1232,1654,ESTIMATED_ MODEL
13,C002,Maize,Cereal,Tamil Nadu,2019,1,Jan,2019-01,303623.8,409486.1,215444.6,194041.5,0.9,Surplus,1582,1418,1924,ESTIMATED_ MODEL
14,C002,Maize,Cereal,Tamil Nadu,2019,2,Feb,2019-02,286825.3,393527.5,215444.6,178083.0,0.83,Surplus,1687,1500,2007,ESTIMATED_ MODEL
15,C002,Maize,Cereal,Tamil Nadu,2019,3,Mar,2019-03,318721.8,423829.2,215444.6,208384.6,0.97,Surplus,1646,1331,1859,ESTIMATED_ MODEL
16,C002,Maize,Cereal,Tamil Nadu,2019,4,Apr,2019-04,295005.7,401298.9,215444.6,185854.4,0.86,Surplus,1576,1312,1826,ESTIMATED_ MODEL
17,C002,Maize,Cereal,Tamil Nadu,2019,5,May,2019-05,0.0,121043.5,215444.6,-94401.0,-0.44,Shortag e,1967,1736,2269,ESTIMATED_ MODEL
18,C002,Maize,Cereal,Tamil Nadu,2019,6,Jun,2019-06,0.0,121043.5,215444.6,-94401.0,-0.44,Shortag e,1968,1681,2206,ESTIMATED_ MODEL
19,C002,Maize,Cereal,Tamil Nadu,2019,7,Jul,2019-07,0.0,121043.5,215444.6,-94401.0,-0.44,Shortag e,2026,1636,2529,ESTIMATED_ MODEL
20,C002,Maize,Cereal,Tamil Nadu,2019,8,Aug,2019-08,309724.5,415281.8,215444.6,199837.2,0.93,Surplus,1640,1344,1805,ESTIMATED_ MODEL
21,C002,Maize,Cereal,Tamil Nadu,2019,9,Sep,2019-09,296935.3,403132.1,215444.6,187687.5,0.87,Surplus,1661,1446,2008,ESTIMATED_ MODEL
22,C002,Maize,Cereal,Tamil Nadu,2019,10,Oct,2019-10,304531.2,410348.1,215444.6,194903.6,0.9,Surplus,1646,1329,1899,ESTIMATED_ MODEL
23,C002,Maize,Cereal,Tamil Nadu,2019,11,Nov,2019-11,305502.5,411270.8,215444.6,195826.3,0.91,Surplus,1571,1393,1876,ESTIMATED_ MODEL
24,C002,Maize,Cereal,Tamil Nadu,2019,12,Dec,2019-12,0.0,121043.5,215444.6,-94401.0,-0.44,Shortag e,1973,1591,2263,ESTIMATED_ MODEL
25,C003,Sorghum/Cholam,Millet,Tamil Nadu,2019,1,Jan,2019-01,67487.9,85063.3,26579.2,58484.1,2.2,Surplus,2074,1817,2456,ESTIMATED_ MODEL
26,C003,Sorghum/Cholam,Millet,Tamil Nadu,2019,2,Feb,2019-02,66762.4,84386.2,25313.5,59072.7,2.33,Surplus,2084,1770,2456,ESTIMATED_ MODEL
27,C003,Sorghum/Cholam,Millet,Tamil Nadu,2019,3,Mar,2019-03,68730.0,86222.7,25313.5,60909.2,2.41,Surplus,2028,1627,2263,ESTIMATED_ MODEL
28,C003,Sorghum/Cholam,Millet,Tamil Nadu,2019,4,Apr,2019-04,0.0,22074.6,25313.5,-3238.8,-0.13,Shortag e,2695,2328,3092,ESTIMATED_ MODEL
29,C003,Sorghum/Cholam,Millet,Tamil Nadu,2019,5,May,2019-05,0.0,22074.6,25313.5,-3238.8,-0.13,Shortag e,2773,2470,3154,ESTIMATED_ MODEL
30,C003,Sorghum/Cholam,Millet,Tamil Nadu,2019,6,Jun,2019-06,0.0,22074.6,25313.5,-3238.8,-0.13,Shortag e,2757,2414,3127,ESTIMATED_ MODEL
31,C003,Sorghum/Cholam,Millet,Tamil Nadu,2019,7,Jul,2019-07,0.0,22074.6,25313.5,-3238.8,-0.13,Shortag e,2703,2240,3038,ESTIMATED_ MODEL
32,C003,Sorghum/Cholam,Millet,Tamil Nadu,2019,8,Aug,2019-08,0.0,22074.6,25313.5,-3238.8,-0.13,Shortag e,2842,2503,3396,ESTIMATED_ MODEL
33,C003,Sorghum/Cholam,Millet,Tamil Nadu,2019,9,Sep,2019-09,65459.3,83169.9,25313.5,57856.5,2.29,Surplus,2100,1849,2369,ESTIMATED_ MODEL
34,C003,Sorghum/Cholam,Millet,Tamil Nadu,2019,10,Oct,2019-10,62680.1,80576.1,25313.5,55262.6,2.18,Surplus,2104,1796,2569,ESTIMATED_ MODEL
35,C003,Sorghum/Cholam,Millet,Tamil Nadu,2019,11,Nov,2019-11,0.0,22074.6,25313.5,-3238.8,-0.13,Shortag e,2836,2359,3167,ESTIMATED_ MODEL
36,C003,Sorghum/Cholam,Millet,Tamil Nadu,2019,12,Dec,2019-12,0.0,22074.6,25313.5,-3238.8,-0.13,Shortag e,2727,2298,3335,ESTIMATED_ MODEL
37,C004,Pearl Millet/Kambu,Millet,Tamil Nadu,2019,1,Jan,2019-01,26697.8,34099.2,10936.9,23162.4,2.12,Surplus,1635,1463,1878,ESTIMATED_ MODEL
38,C004,Pearl Millet/Kambu,Millet,Tamil Nadu,2019,2,Feb,2019-02,28413.3,35700.4,10936.9,24763.5,2.26,Surplus,1659,1444,1916,ESTIMATED_ MODEL
39,C004,Pearl Millet/Kambu,Millet,Tamil Nadu,2019,3,Mar,2019-03,28095.5,35403.7,10936.9,24466.9,2.24,Surplus,1720,1541,1957,ESTIMATED_ MODEL
40,C004,Pearl Millet/Kambu,Millet,Tamil Nadu,2019,4,Apr,2019-04,0.0,9181.3,10936.9,-1755.6,-0.16,Shortag e,2262,1878,2585,ESTIMATED_ MODEL
41,C004,Pearl Millet/Kambu,Millet,Tamil Nadu,2019,5,May,2019-05,0.0,9181.3,10936.9,-1755.6,-0.16,Shortag e,2201,1895,2588,ESTIMATED_ MODEL
