Crop,Type,Main season,First harvest / maturity,Harvest pattern,Harvest period,Water,Soil,Major pests,Major diseases
Rice/Paddy,Cereal,"Kuruvai, Samba/Thaladi, Navarai",90–150,One harvest,90–150 days,High,Clay/loam,"Stem borer, leaf folder","Blast, bacterial leaf blight"
Maize,Cereal,Various seasons with irrigation,80–120,One harvest,80–120 days,Moderate,Well-drained loam,Fall armyworm,"Leaf blight, downy mildew"
Sorghum/Cholam,Millet,"Jun–Jul, Sep–Oct",90–120,One harvest,90–120 days,Moderate,Loam,Shoot fly,"Downy mildew, grain mold"
Pearl Millet/Kambu,Millet,"Jun–Jul, Sep–Oct",75–100,One harvest,75–100 days,Low–moderate,Sandy loam,Shoot fly,Downy mildew
Ragi,Millet,"Jun–Jul, Sep–Oct",90–120,One harvest,90–120 days,Moderate,Red loam,Shoot fly,Blast
Green Gram,Pulse,"Jun–Jul, Sep–Oct, Jan–Feb",60–75,One main harvest,60–75 days,Low–moderate,Well-drained loam,"Aphids, pod borer",Yellow mosaic
Black Gram,Pulse,"Jun–Jul, Sep–Oct, Jan–Feb",60–80,One main harvest,60–80 days,Low–moderate,Loam,"Aphids, pod borer",Yellow mosaic
Red Gram/Pigeon Pea,Pulse,Jun–Jul,150–200,One harvest,150–200 days,Moderate,Well-drained loam,Pod borer,Wilt
Bengal Gram/Chickpea,Pulse,Cool season,100–120,One harvest,100–120 days,Low,Loam,Pod borer,Wilt
Groundnut,Oilseed,"Jun–Jul, Sep–Oct, Jan–Feb",100–130,One harvest,100–130 days,Moderate,Sandy loam,"Leaf miner, thrips",Tikka disease
Sesame/Gingelly,Oilseed,"Jun–Jul, Sep–Oct, Jan–Feb",80–100,One harvest,80–100 days,Low–moderate,Well-drained soil,"Gall fly, leaf webber",Phyllody
Sunflower,Oilseed,Several seasons,90–110,One harvest,90–110 days,Moderate,Well-drained loam,Head borer,Downy mildew
Cotton,Fibre,"Jun–Jul, Sep–Oct",150–180+,Multiple pickings,Several weeks/months,Moderate,Black soil/loam,"Bollworms, whitefly","Wilt, leaf curl"
Sugarcane,Commercial,Different planting windows,10–14 months,One main harvest,10–14 months,High,Deep fertile loam,Early shoot borer,Red rot
Ladies Finger/Okra,Vegetable,Warm season; several periods,45–60,Every ~2 days,2–3 months,Moderate,Fertile well-drained soil,"Aphids, jassids, borer","Yellow vein mosaic, powdery mildew"
Tomato,Vegetable,Multiple seasons by region,60–80,Every 3–4 days,2–3 months,Moderate,Well-drained loam,"Fruit borer, whitefly","Leaf curl, early blight"
Brinjal,Vegetable,Multiple seasons,60–80,Every 3–5 days,3–4 months,Moderate,Fertile loam,Shoot/fruit borer,"Little leaf, bacterial wilt"
