crop_id,crop_name,category,season,sowing_window,crop_duration_days,first_harvest_days,first_harvest_days_min,first_harvest_days_max,harvest_interval_days,harvest_type,harvest_period,water_requirement,soil_type,temperature_range,pests,diseases
crop_rice,Rice/Paddy,Cereal,"Kuruvai, Samba/Thaladi, Navarai","Jun–Jul (Kuruvai), Aug–Sep (Samba), Dec–Jan (Navarai)",120,90–150 days,90,150,,One-time,90–150 days,High,Clay/loam,20–35°C,"Stem borer, leaf folder","Blast, bacterial leaf blight"
crop_maize,Maize,Cereal,Various seasons with irrigation,"Jun–Jul (Kharif), Oct–Nov (Rabi), Jan–Feb (Summer)",100,80–120 days,80,120,,One-time,80–120 days,Moderate,Well-drained loam,18–32°C,Fall armyworm,"Leaf blight, downy mildew"
crop_sorghum,Sorghum/Cholam,Millet,"Kharif, Late Kharif","Jun–Jul, Sep–Oct",105,90–120 days,90,120,,One-time,90–120 days,Moderate,Loam,25–34°C,Shoot fly,"Downy mildew, grain mold"
crop_pearl_millet,Pearl Millet/Kambu,Millet,"Kharif, Summer","Jun–Jul, Sep–Oct",85,75–100 days,75,100,,One-time,75–100 days,Low–moderate,Sandy loam,25–35°C,Shoot fly,Downy mildew
crop_ragi,Ragi,Millet,"Kharif, Late Kharif","Jun–Jul, Sep–Oct",105,90–120 days,90,120,,One-time,90–120 days,Moderate,Red loam,20–32°C,Shoot fly,Blast
crop_green_gram,Green Gram,Pulse,"Kharif, Rabi, Summer","Jun–Jul, Sep–Oct, Jan–Feb",70,60–75 days,60,75,,One-time,60–75 days,Low–moderate,Well-drained loam,22–35°C,"Aphids, pod borer",Yellow mosaic
crop_black_gram,Black Gram,Pulse,"Kharif, Rabi, Rice fallow","Jun–Jul, Sep–Oct, Jan–Feb",70,60–80 days,60,80,,One-time,60–80 days,Low–moderate,Loam,25–35°C,"Aphids, pod borer",Yellow mosaic
crop_red_gram,Red Gram/Pigeon Pea,Pulse,Kharif,Jun–Jul,180,150–200 days,150,200,,One-time,150–200 days,Moderate,Well-drained loam,20–35°C,Pod borer,Wilt
crop_bengal_gram,Bengal Gram/Chickpea,Pulse,Cool season (Rabi),Oct–Nov,110,100–120 days,100,120,,One-time,100–120 days,Low,Loam,15–28°C,Pod borer,Wilt
crop_groundnut,Groundnut,Oilseed,"Kharif, Rabi, Summer","Jun–Jul, Sep–Oct, Jan–Feb",115,100–130 days,100,130,,One-time,100–130 days,Moderate,Sandy loam,22–32°C,"Leaf miner, thrips",Tikka disease
crop_sesame,Sesame/Gingelly,Oilseed,"Kharif, Rabi, Summer","Jun–Jul, Sep–Oct, Jan–Feb",90,80–100 days,80,100,,One-time,80–100 days,Low–moderate,Well-drained soil,25–35°C,"Gall fly, leaf webber",Phyllody
crop_sunflower,Sunflower,Oilseed,Several seasons,"Jun–Jul, Oct–Nov, Jan–Feb",100,90–110 days,90,110,,One-time,90–110 days,Moderate,Well-drained loam,20–30°C,Head borer,Downy mildew
crop_cotton,Cotton,Fibre,Kharif,"Jun–Jul, Sep–Oct",180,150–180 days,150,180,15,Multiple pickings,Several weeks/months,Moderate,Black soil/loam,21–35°C,"Bollworms, whitefly","Wilt, leaf curl"
crop_sugarcane,Sugarcane,Commercial,Different planting windows,"Dec–Feb (Eksali), Jun–Jul (Adsali)",360,300–420 days,300,420,,One-time,10–14 months,High,Deep fertile loam,20–38°C,Early shoot borer,Red rot
crop_okra,Ladies Finger/Okra,Vegetable,Warm season; several periods,"Feb–Mar, Jun–Jul, Oct–Nov",120,45–60 days,45,60,2,Repeated,2–3 months,Moderate,Fertile well-drained soil,22–35°C,"Aphids, jassids, borer","Yellow vein mosaic, powdery mildew"
crop_tomato,Tomato,Vegetable,Multiple seasons by region,"Jun–Jul, Oct–Nov, Jan–Feb",140,60–80 days,60,80,3.5,Repeated,2–3 months,Moderate,Well-drained loam,18–30°C,"Fruit borer, whitefly","Leaf curl, early blight"
crop_brinjal,Brinjal,Vegetable,Multiple seasons,"Jun–Jul, Oct–Nov, Jan–Feb",150,60–80 days,60,80,4,Repeated,3–4 months,Moderate,Fertile loam,20–32°C,Shoot/fruit borer,"Little leaf, bacterial wilt"
crop_green_chilli,Green Chilli,Vegetable,Multiple seasons,"Jun–Jul, Sep–Oct, Jan–Feb",180,60–90 days,60,90,6,Repeated,3–5 months,Moderate,Well-drained loam,20–32°C,"Thrips, mites",Leaf curl
crop_french_beans,French Beans,Vegetable,Cool/moderate periods,"Jul–Aug, Oct–Nov",100,45–60 days,45,60,2.5,Repeated,1.5–3 months,Moderate,Well-drained loam,15–25°C,"Aphids, pod borer","Rust, anthracnose"
crop_cluster_beans,Cluster Beans,Vegetable,Warm season,"Jun–Jul, Jan–Feb",100,45–60 days,45,60,2.5,Repeated,1.5–3 months,Low–moderate,Sandy loam,25–35°C,Aphids,Powdery mildew
crop_cucumber,Cucumber,Vegetable,Warm season,"Feb–Mar, Jun–Jul",90,40–55 days,40,55,2.5,Repeated,1.5–2 months,Moderate–high,Well-drained loam,20–32°C,"Fruit fly, aphids",Downy mildew
crop_bitter_gourd,Bitter Gourd,Vegetable,Warm season,"Jan–Feb, Jun–Jul",120,55–70 days,55,70,2.5,Repeated,2–3 months,Moderate,Well-drained loam,24–35°C,"Fruit fly, beetles",Downy mildew
crop_bottle_gourd,Bottle Gourd,Vegetable,Warm season,"Jan–Feb, Jun–Jul",120,55–70 days,55,70,3,Repeated,2–3 months,Moderate,Well-drained loam,24–32°C,"Fruit fly, aphids",Powdery mildew
